Date,Price,Volume,Opening,Min,Max,ticker,settlement,instrument_type,currency,variacion_diaria
2025-02-26 00:00:00-03:00,5.44,298728.88,5.41,5.4,5.59,NVDAD,A-24HS,CEDEARS,USD,1.4925373134328401
2025-02-27 00:00:00-03:00,5.2,214704.23,5.61,5.13,5.79,NVDAD,A-24HS,CEDEARS,USD,-4.4117647058823595
2025-02-28 00:00:00-03:00,5.06,192783.17,5.17,4.89,5.17,NVDAD,A-24HS,CEDEARS,USD,-2.692307692307705
2025-03-05 00:00:00-03:00,4.93,152794.0,4.9,4.76,4.98,NVDAD,A-24HS,CEDEARS,USD,-2.5691699604743046
2025-03-06 00:00:00-03:00,4.64,120760.69,4.95,4.6,4.95,NVDAD,A-24HS,CEDEARS,USD,-5.882352941176472
2025-03-07 00:00:00-03:00,4.66,139079.12,4.7,4.51,4.74,NVDAD,A-24HS,CEDEARS,USD,0.4310344827586299
2025-03-10 00:00:00-03:00,4.5,121209.6,4.59,4.41,4.59,NVDAD,A-24HS,CEDEARS,USD,-3.433476394849788
2025-03-11 00:00:00-03:00,4.59,167723.94,4.59,4.38,4.7,NVDAD,A-24HS,CEDEARS,USD,2.0000000000000018
2025-03-12 00:00:00-03:00,4.82,136196.2,4.7,4.7,4.88,NVDAD,A-24HS,CEDEARS,USD,5.010893246187376
2025-03-13 00:00:00-03:00,4.84,79453.9,4.83,4.77,4.91,NVDAD,A-24HS,CEDEARS,USD,0.4149377593360981
2025-03-14 00:00:00-03:00,5.07,118171.37,4.92,4.92,5.16,NVDAD,A-24HS,CEDEARS,USD,4.752066115702491
2025-03-17 00:00:00-03:00,5.03,71215.94,5.14,4.91,5.14,NVDAD,A-24HS,CEDEARS,USD,-0.7889546351084853
2025-03-18 00:00:00-03:00,4.86,120722.38,4.9,4.78,4.96,NVDAD,A-24HS,CEDEARS,USD,-3.379721669980118
2025-03-19 00:00:00-03:00,4.99,77754.66,4.85,4.85,5.0,NVDAD,A-24HS,CEDEARS,USD,2.6748971193415683
2025-03-20 00:00:00-03:00,4.95,39168.74,5.0,4.91,5.02,NVDAD,A-24HS,CEDEARS,USD,-0.8016032064128265
2025-03-21 00:00:00-03:00,4.88,143642.19,4.9,4.82,4.94,NVDAD,A-24HS,CEDEARS,USD,-1.4141414141414232
2025-03-25 00:00:00-03:00,5.02,63982.21,5.1,4.95,5.1,NVDAD,A-24HS,CEDEARS,USD,2.86885245901638
2025-03-26 00:00:00-03:00,4.74,124433.54,4.94,4.71,4.95,NVDAD,A-24HS,CEDEARS,USD,-5.577689243027873
2025-03-27 00:00:00-03:00,4.67,101548.55,4.77,4.65,4.77,NVDAD,A-24HS,CEDEARS,USD,-1.4767932489451518
2025-03-28 00:00:00-03:00,4.65,75872.71,4.73,4.55,4.73,NVDAD,A-24HS,CEDEARS,USD,-0.4282655246252598
2025-03-31 00:00:00-03:00,4.47,86633.56,4.49,4.2,4.52,NVDAD,A-24HS,CEDEARS,USD,-3.8709677419354938
2025-04-01 00:00:00-03:00,4.56,65061.29,4.4,4.38,4.6,NVDAD,A-24HS,CEDEARS,USD,2.0134228187919323
2025-04-03 00:00:00-03:00,4.3,195468.83,4.38,4.26,4.45,NVDAD,A-24HS,CEDEARS,USD,-5.701754385964907
2025-04-04 00:00:00-03:00,3.97,259642.84,4.23,3.85,4.23,NVDAD,A-24HS,CEDEARS,USD,-7.674418604651157
2025-04-07 00:00:00-03:00,4.04,336232.62,3.88,3.79,4.2,NVDAD,A-24HS,CEDEARS,USD,1.76322418136019
2025-04-08 00:00:00-03:00,4.01,277301.66,4.3,3.96,4.44,NVDAD,A-24HS,CEDEARS,USD,-0.7425742574257432
2023-01-02 00:00:00-03:00,8.02,2533.18,8.15,7.98,8.47,MSFTD,A-24HS,CEDEARS,USD,
2023-01-03 00:00:00-03:00,8.22,1430.43,8.39,8.15,8.39,MSFTD,A-24HS,CEDEARS,USD,2.493765586034935
2023-01-04 00:00:00-03:00,8.09,8794.83,8.05,7.77,8.05,MSFTD,A-24HS,CEDEARS,USD,-1.5815085158150999
2023-01-05 00:00:00-03:00,7.7,2041.84,7.7,7.6,7.7,MSFTD,A-24HS,CEDEARS,USD,-4.820766378244745
2023-01-06 00:00:00-03:00,7.58,330.61,7.7,7.5,7.7,MSFTD,A-24HS,CEDEARS,USD,-1.558441558441559
2023-01-09 00:00:00-03:00,7.83,8392.92,7.61,7.61,7.9,MSFTD,A-24HS,CEDEARS,USD,3.298153034300788
2023-01-10 00:00:00-03:00,7.76,2414.69,7.92,7.76,8.05,MSFTD,A-24HS,CEDEARS,USD,-0.8939974457215838
2023-01-11 00:00:00-03:00,8.24,26565.26,7.95,7.93,8.13,MSFTD,A-24HS,CEDEARS,USD,6.185567010309279
2023-01-12 00:00:00-03:00,8.13,8405.55,8.2,8.0,8.45,MSFTD,A-24HS,CEDEARS,USD,-1.3349514563106735
2023-01-13 00:00:00-03:00,8.15,8626.51,8.0,7.94,8.16,MSFTD,A-24HS,CEDEARS,USD,0.24600246002459691
2023-01-16 00:00:00-03:00,8.26,5582.85,8.5,8.05,8.7,MSFTD,A-24HS,CEDEARS,USD,1.3496932515337345
2023-01-17 00:00:00-03:00,8.36,9534.51,8.22,8.16,8.36,MSFTD,A-24HS,CEDEARS,USD,1.2106537530266248
2023-01-18 00:00:00-03:00,8.3,6594.11,8.35,8.08,8.75,MSFTD,A-24HS,CEDEARS,USD,-0.7177033492822837
2023-01-19 00:00:00-03:00,8.0,7332.72,8.3,7.84,8.49,MSFTD,A-24HS,CEDEARS,USD,-3.614457831325313
2023-01-20 00:00:00-03:00,8.45,21466.32,8.55,8.1,8.55,MSFTD,A-24HS,CEDEARS,USD,5.624999999999991
2023-01-23 00:00:00-03:00,8.44,6067.14,8.6,8.13,8.6,MSFTD,A-24HS,CEDEARS,USD,-0.11834319526626835
2023-01-24 00:00:00-03:00,8.47,6149.67,8.5,8.1,8.5,MSFTD,A-24HS,CEDEARS,USD,0.35545023696683664
2023-01-25 00:00:00-03:00,8.5,10206.69,8.15,7.87,8.35,MSFTD,A-24HS,CEDEARS,USD,0.35419126328215533
2023-01-26 00:00:00-03:00,8.6,4047.28,8.7,8.35,8.7,MSFTD,A-24HS,CEDEARS,USD,1.17647058823529
2023-01-27 00:00:00-03:00,8.77,21395.21,8.51,8.49,8.77,MSFTD,A-24HS,CEDEARS,USD,1.9767441860465196
2023-01-30 00:00:00-03:00,8.43,10148.16,8.5,8.25,8.68,MSFTD,A-24HS,CEDEARS,USD,-3.876852907639683
2023-01-31 00:00:00-03:00,8.52,11069.0,8.8,8.41,8.8,MSFTD,A-24HS,CEDEARS,USD,1.067615658362997
2023-02-01 00:00:00-03:00,8.82,5149.81,8.6,8.41,8.82,MSFTD,A-24HS,CEDEARS,USD,3.521126760563398
2023-02-02 00:00:00-03:00,8.91,6864.08,8.7,8.7,9.1,MSFTD,A-24HS,CEDEARS,USD,1.0204081632652962
2023-02-03 00:00:00-03:00,8.85,8778.28,8.9,8.7,9.18,MSFTD,A-24HS,CEDEARS,USD,-0.6734006734006814
2023-02-06 00:00:00-03:00,8.77,4525.36,8.74,8.69,9.1,MSFTD,A-24HS,CEDEARS,USD,-0.9039548022598876
2023-02-07 00:00:00-03:00,9.28,15686.78,8.75,8.75,9.35,MSFTD,A-24HS,CEDEARS,USD,5.815279361459513
2023-02-08 00:00:00-03:00,9.3,40945.79,9.5,9.3,10.0,MSFTD,A-24HS,CEDEARS,USD,0.21551724137931494
2023-02-09 00:00:00-03:00,9.11,11397.39,9.75,9.2,9.89,MSFTD,A-24HS,CEDEARS,USD,-2.04301075268819
2023-02-10 00:00:00-03:00,9.23,5194.14,9.55,9.15,9.55,MSFTD,A-24HS,CEDEARS,USD,1.317233809001106
2023-02-13 00:00:00-03:00,9.71,10951.75,9.25,9.25,9.95,MSFTD,A-24HS,CEDEARS,USD,5.200433369447466
2023-02-14 00:00:00-03:00,9.59,14492.15,9.92,9.42,9.92,MSFTD,A-24HS,CEDEARS,USD,-1.2358393408856916
2023-02-15 00:00:00-03:00,9.27,3453.68,9.59,9.2,9.59,MSFTD,A-24HS,CEDEARS,USD,-3.3368091762252416
2023-02-16 00:00:00-03:00,9.3,8142.4,9.6,9.02,9.6,MSFTD,A-24HS,CEDEARS,USD,0.3236245954692629
2023-02-17 00:00:00-03:00,9.0,12869.84,8.94,8.5,8.99,MSFTD,A-24HS,CEDEARS,USD,-3.2258064516129115
2023-02-22 00:00:00-03:00,8.96,3735.87,9.0,8.6,9.14,MSFTD,A-24HS,CEDEARS,USD,-0.4444444444444362
2023-02-23 00:00:00-03:00,8.98,6539.23,9.2,8.7,9.2,MSFTD,A-24HS,CEDEARS,USD,0.22321428571427937
2023-02-24 00:00:00-03:00,8.52,10685.15,8.99,8.3,8.99,MSFTD,A-24HS,CEDEARS,USD,-5.122494432071278
2023-02-27 00:00:00-03:00,8.89,3395.86,8.66,8.55,8.89,MSFTD,A-24HS,CEDEARS,USD,4.342723004694848
2023-02-28 00:00:00-03:00,8.64,1996.92,9.2,8.5,9.2,MSFTD,A-24HS,CEDEARS,USD,-2.8121484814398245
2023-03-01 00:00:00-03:00,8.57,11752.52,8.74,8.4,8.99,MSFTD,A-24HS,CEDEARS,USD,-0.810185185185186
2023-03-02 00:00:00-03:00,8.7,13573.8,8.2,8.2,8.75,MSFTD,A-24HS,CEDEARS,USD,1.516919486581081
2023-03-03 00:00:00-03:00,8.68,5757.62,8.8,8.25,8.8,MSFTD,A-24HS,CEDEARS,USD,-0.22988505747125743
2023-03-06 00:00:00-03:00,8.95,4705.62,9.05,8.8,9.1,MSFTD,A-24HS,CEDEARS,USD,3.1105990783410142
2023-03-07 00:00:00-03:00,8.64,3516.26,8.9,8.62,9.09,MSFTD,A-24HS,CEDEARS,USD,-3.4636871508379796
2023-03-08 00:00:00-03:00,8.94,5645.35,8.74,8.55,8.99,MSFTD,A-24HS,CEDEARS,USD,3.47222222222221
2023-03-09 00:00:00-03:00,8.83,3358.44,8.99,8.7,8.99,MSFTD,A-24HS,CEDEARS,USD,-1.230425055928408
2023-03-10 00:00:00-03:00,8.64,7623.22,8.8,8.57,9.08,MSFTD,A-24HS,CEDEARS,USD,-2.1517553793884425
2023-03-13 00:00:00-03:00,8.87,5888.62,8.6,8.6,8.94,MSFTD,A-24HS,CEDEARS,USD,2.662037037037024
2023-03-14 00:00:00-03:00,8.95,6002.61,9.1,8.87,9.25,MSFTD,A-24HS,CEDEARS,USD,0.901916572717032
2023-03-15 00:00:00-03:00,9.26,12598.34,9.05,9.0,9.28,MSFTD,A-24HS,CEDEARS,USD,3.463687150838002
2023-03-16 00:00:00-03:00,9.7,11587.15,9.26,9.12,9.75,MSFTD,A-24HS,CEDEARS,USD,4.751619870410373
2023-03-17 00:00:00-03:00,9.7,17746.84,9.93,9.45,9.99,MSFTD,A-24HS,CEDEARS,USD,0.0
2023-03-20 00:00:00-03:00,9.4,15205.24,9.5,9.25,9.5,MSFTD,A-24HS,CEDEARS,USD,-3.092783505154628
2023-03-21 00:00:00-03:00,9.49,9531.66,9.43,9.3,9.75,MSFTD,A-24HS,CEDEARS,USD,0.9574468085106425
2023-03-22 00:00:00-03:00,9.56,7217.63,9.49,9.45,9.7,MSFTD,A-24HS,CEDEARS,USD,0.7376185458377371
2023-03-23 00:00:00-03:00,9.7,13576.72,9.8,9.5,9.85,MSFTD,A-24HS,CEDEARS,USD,1.464435146443499
2023-03-27 00:00:00-03:00,9.75,7281.05,9.85,9.5,9.85,MSFTD,A-24HS,CEDEARS,USD,0.5154639175257714
2023-03-28 00:00:00-03:00,9.4,5612.8,9.85,9.35,9.85,MSFTD,A-24HS,CEDEARS,USD,-3.589743589743588
2023-03-29 00:00:00-03:00,9.54,12520.04,9.74,9.5,9.99,MSFTD,A-24HS,CEDEARS,USD,1.4893617021276562
2023-03-30 00:00:00-03:00,9.79,15161.61,9.97,9.59,10.2,MSFTD,A-24HS,CEDEARS,USD,2.6205450733752578
2023-03-31 00:00:00-03:00,10.05,5608.53,9.64,9.64,10.2,MSFTD,A-24HS,CEDEARS,USD,2.6557711950970564
2023-04-03 00:00:00-03:00,9.95,18744.81,10.4,9.6,10.4,MSFTD,A-24HS,CEDEARS,USD,-0.9950248756219082
2023-04-04 00:00:00-03:00,9.76,13244.08,9.81,9.7,10.25,MSFTD,A-24HS,CEDEARS,USD,-1.9095477386934623
2023-04-05 00:00:00-03:00,9.97,11208.57,10.0,9.65,10.4,MSFTD,A-24HS,CEDEARS,USD,2.1516393442623016
2023-04-10 00:00:00-03:00,9.9,5312.12,10.35,9.77,10.35,MSFTD,A-24HS,CEDEARS,USD,-0.7021063189568744
2023-04-11 00:00:00-03:00,9.82,7551.11,10.2,9.62,10.2,MSFTD,A-24HS,CEDEARS,USD,-0.8080808080808133
2023-04-12 00:00:00-03:00,9.95,13010.19,10.0,9.71,10.1,MSFTD,A-24HS,CEDEARS,USD,1.323828920570258
2023-04-13 00:00:00-03:00,9.89,14831.09,10.05,9.65,10.2,MSFTD,A-24HS,CEDEARS,USD,-0.603015075376867
2023-04-14 00:00:00-03:00,9.94,10456.72,10.15,9.78,10.15,MSFTD,A-24HS,CEDEARS,USD,0.5055611729019027
2023-04-17 00:00:00-03:00,10.0,5962.03,9.83,9.83,10.1,MSFTD,A-24HS,CEDEARS,USD,0.6036217303823088
2023-04-18 00:00:00-03:00,10.0,15367.45,10.2,9.85,10.25,MSFTD,A-24HS,CEDEARS,USD,0.0
